image,pattern,width,height,pixels,filter,filter_width,filter_height,version,repeat,time_ms,verified
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,4,0.342792,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,4,0.343331,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,4,0.340908,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,5,15.537546,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,5,0.376012,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,5,0.345205,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,5,0.344614,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,5,0.340699,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,6,13.321546,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,6,0.349441,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,6,0.343884,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,6,0.344073,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,6,0.340959,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,cpu_single,7,13.410331,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_global,7,0.346155,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled,7,0.343042,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_constant,7,0.343464,1
checker_1024,1,1024,1024,1048576,edge_5x5,5,5,gpu_tiled_constant,7,0.341020,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,cpu_single,1,22.235825,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_global,1,1.332798,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled,1,1.306748,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_constant,1,1.308010,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled_constant,1,1.303992,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,cpu_single,2,22.418444,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_global,2,1.329082,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled,2,1.306898,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_constant,2,1.306888,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled_constant,2,1.302572,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,cpu_single,3,22.512867,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_global,3,1.333739,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled,3,1.307409,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_constant,3,1.306357,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled_constant,3,1.308651,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,cpu_single,4,22.940508,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_global,4,1.343444,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled,4,1.306047,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_constant,4,1.306107,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled_constant,4,1.302932,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,cpu_single,5,27.439702,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_global,5,1.349853,1
rings_2048,2,2048,2048,4194304,emboss_3x3,3,3,gpu_tiled,5,1.336925,1
